state,session,chamber,bill_id,title,created_at,updated_at,type,subjects
wa,2011-2012,lower,HB 1580,Limiting liability for specified state and local agencies.,2011-02-25 17:48:56.388000,2012-10-18 06:58:44.072000,bill,Public Services|Crime|Health|Civil Liberties and Civil Rights
wa,2011-2012,lower,HB 1581,Regarding shared parenting placement agreements for children with disabilities placed in out-of-home care.,2011-02-25 17:48:56.392000,2012-11-02 06:44:21.334000,bill,Public Services|Health|Family and Children Issues
wa,2011-2012,lower,HB 1582,Concerning forest practices applications leading to conversion of land for development purposes.,2011-02-25 17:48:56.395000,2012-11-02 06:44:21.311000,bill,Environmental
wa,2011-2012,lower,HB 1583,Authorizing program providers to issue food and beverage service worker's permits.,2011-02-25 17:48:56.398000,2012-11-02 06:44:21.301000,bill,Agriculture and Food|Labor and Employment|Health
wa,2011-2012,lower,HB 1584,Addressing the distance requirements for gathering signatures for an initiative or referendum at stand alone stores and retail stores that are located in commercial retail complexes.,2011-02-25 17:48:56.402000,2012-10-18 06:58:44.110000,bill,Other
wa,2011-2012,lower,HB 1585,Establishing the intrastate mutual aid system.,2011-02-25 17:48:56.405000,2012-11-02 06:44:21.397000,bill,Military|State Agencies|Health
wa,2011-2012,lower,HB 1586,Regarding the provision of doctorate programs at the research university branch campuses in Washington.,2011-02-25 17:48:56.428000,2012-11-02 06:44:21.378000,bill,Education
wa,2011-2012,lower,HB 1587,Preserving and advancing communication service and connectivity in the state.,2011-02-25 17:48:56.437000,2012-11-02 06:44:21.368000,bill,Transportation|Technology and Communication
wa,2011-2012,lower,HB 1588,Regarding hydraulic project approval.,2011-02-25 17:48:56.439000,2012-11-02 06:44:21.297000,bill,Public Services|Animal Rights and Wildlife Issues|Technology and Communication
wa,2011-2012,lower,HB 1589,Concerning trust water rights.,2011-02-25 17:48:56.441000,2012-11-02 06:44:21.294000,bill,Environmental|State Agencies
wa,2011-2012,lower,HB 1590,Regulating the use of automated traffic safety cameras.,2011-02-25 17:48:56.444000,2012-10-18 06:58:46.338000,bill,Transportation|Technology and Communication
wa,2011-2012,lower,HB 1591,Expanding protections against workplace harassment in antiharassment protection orders.,2011-02-25 17:48:56.446000,2012-11-02 06:44:23.543000,bill,Labor and Employment|Crime|Family and Children Issues|Civil Liberties and Civil Rights
wa,2011-2012,lower,HB 1592,Suspending the growth management act in counties with significant and persistent unemployment.,2011-02-25 17:48:56.449000,2012-10-18 06:58:46.376000,bill,Labor and Employment|State Agencies|Other|Municipal and County Issues
wa,2011-2012,lower,HB 1593,Establishing a residency provisional principal certification.,2011-02-25 17:48:56.458000,2012-11-02 06:44:23.552000,bill,Education
wa,2011-2012,lower,HB 1594,Concerning the membership and work of the financial education public-private partnership.,2011-02-25 17:48:56.471000,2012-11-02 06:44:23.567000,bill,Education
wa,2011-2012,lower,HB 1595,Regarding graduates of foreign medical schools.,2011-02-25 17:48:56.474000,2012-11-02 06:44:23.585000,bill,Health
wa,2011-2012,lower,HB 1596,"Concerning requirements that cities and towns with ambulance utilities allocate funds toward the total cost necessary to regulate, operate, and maintain the ambulance utility.",2011-02-25 17:48:56.477000,2012-11-02 06:44:23.602000,bill,Public Services|Health|Municipal and County Issues
wa,2011-2012,lower,HB 1597,Achieving economic security through income sufficient to meet basic needs.,2011-02-25 17:48:56.480000,2012-11-02 06:44:23.640000,bill,Labor and Employment|State Agencies
wa,2011-2012,lower,HB 1598,Concerning county and city additional real estate excise tax authority.,2011-02-25 17:48:56.483000,2012-11-02 06:44:23.511000,bill,"Housing and Property|Budget, Spending, and Taxes|Municipal and County Issues"
wa,2011-2012,lower,HB 1599,Establishing the pay for actual student success dropout prevention program.,2011-02-25 17:48:56.507000,2012-11-02 06:44:23.522000,bill,Education
wa,2011-2012,lower,HB 1600,Concerning elementary math specialists.,2011-02-25 17:48:56.539000,2012-11-02 06:44:23.441000,bill,Labor and Employment|Education
wa,2011-2012,lower,HB 1601,Enacting the middle class jobs act.,2011-02-25 17:48:56.543000,2012-11-02 06:44:23.455000,bill,Labor and Employment|State Agencies|Education|Health|Commerce
wa,2011-2012,lower,HB 1602,Concerning parents' rights.,2011-02-25 17:48:56.548000,2012-10-18 06:58:46.245000,bill,Education|Health|Family and Children Issues
wa,2011-2012,lower,HB 1603,Concerning the removal of gravel from waterways to reduce the impact of flooding.,2011-02-25 17:48:56.550000,2012-10-18 06:58:46.251000,bill,Environmental|Other|Municipal and County Issues
wa,2011-2012,lower,HB 1604,Requiring signed parental confirmation before students participate in AIDS and sexual health education.,2011-02-25 17:48:56.552000,2012-11-02 06:44:23.465000,bill,Education|Health
wa,2011-2012,lower,HB 1605,Requiring recipients of public funds for housing to provide an application preference for qualified disabled veterans.,2011-02-25 17:48:56.554000,2012-10-18 06:58:46.261000,bill,Housing and Property|Health|Military
wa,2011-2012,lower,HB 1606,Concerning minimum renewable fuel content requirements.,2011-02-25 17:48:56.577000,2012-11-02 06:44:23.490000,bill,Energy
wa,2011-2012,lower,HB 1607,Providing a limited exemption from school day and hour requirements in order to mitigate state funding reductions.,2011-02-25 17:48:56.580000,2012-11-02 06:44:23.508000,bill,Education
wa,2011-2012,lower,HB 1608,Modifying the opportunity internship program.,2011-02-25 17:48:56.585000,2012-11-02 06:44:23.425000,bill,Labor and Employment|Education
wa,2011-2012,lower,HB 1609,Regarding school employee workforce reductions and assignments.,2011-02-25 17:48:56.590000,2012-11-02 06:44:23.434000,bill,Labor and Employment|Education
wa,2011-2012,lower,HB 1610,Regarding the management of water resources.,2011-02-25 17:48:56.592000,2012-11-02 06:44:21.237000,bill,Environmental|State Agencies
wa,2011-2012,lower,HB 1611,Clarifying the department of early learning's authority with respect to licensed child care facilities.,2011-02-25 17:48:56.595000,2012-11-02 06:44:21.193000,bill,State Agencies|Education|Health|Family and Children Issues
wa,2011-2012,lower,HB 1612,Regulating the insurance coverage of prosthetics and orthotics.,2011-02-25 17:48:56.597000,2012-11-02 06:44:21.190000,bill,Health|Insurance
wa,2011-2012,lower,HB 1613,Regarding providing eyeglasses to medicaid enrollees.,2011-02-25 17:48:56.630000,2012-11-02 06:44:21.181000,bill,Public Services
wa,2011-2012,lower,HB 1614,Concerning the traumatic brain injury strategic partnership.,2011-02-25 17:48:56.646000,2012-11-02 06:44:21.278000,bill,Military|Public Services|Health
wa,2011-2012,lower,HB 1615,Concerning service members' civil relief.,2011-02-25 17:48:56.671000,2012-11-02 06:44:21.252000,bill,Military
wa,2011-2012,lower,HB 1616,Authorizing lien authority of public utility districts providing water or sewer service.,2011-02-25 17:48:56.676000,2012-11-02 06:44:21.243000,bill,Housing and Property|Public Services
wa,2011-2012,lower,HB 1617,Exempting public hospital districts from certificate of need requirements.,2011-02-25 17:48:56.678000,2012-10-18 06:58:43.944000,bill,Health
wa,2011-2012,lower,HB 1618,Addressing public utility districts and deferred compensation and supplemental savings plans.,2011-02-25 17:48:56.681000,2012-11-02 06:44:21.166000,bill,Labor and Employment|Public Services
wa,2011-2012,lower,HB 1619,Authorizing the use of all-terrain vehicles on public roadways under certain conditions.,2011-02-25 17:48:56.684000,2012-10-18 06:58:43.901000,bill,Recreation|Transportation
wa,2011-2012,lower,HB 1620,Concerning the discharge and relocation of residents of state facilities.,2011-02-25 17:48:56.686000,2012-10-18 06:58:14.279000,bill,Health
wa,2011-2012,lower,HB 1621,Making technical corrections to department of early learning statutes.,2011-02-25 17:48:56.689000,2012-11-02 06:43:59.079000,bill,State Agencies|Education|Other
wa,2011-2012,lower,HB 1622,Authorizing rural conservation development demonstration projects.,2011-02-25 17:48:56.692000,2012-11-02 06:43:59.031000,bill,Environmental|Other|Municipal and County Issues
wa,2011-2012,lower,HB 1623,Making it a felony to drive or be in physical control of a vehicle while under the influence of intoxicating liquor or any drug when the person has two or more prior offenses within seven years.,2011-02-25 17:48:56.703000,2012-10-18 06:58:14.251000,bill,Transportation|Legal Issues|Crime
wa,2011-2012,lower,HB 1624,Promoting residential infrastructure development in urban growth areas.,2011-02-25 17:48:56.706000,2012-11-02 06:43:59.145000,bill,Commerce|State Agencies|Other
wa,2011-2012,lower,HB 1625,Addressing the default investment option available to new members of the plan 3 retirement systems.,2011-02-25 17:48:56.711000,2012-11-02 06:43:59.154000,bill,Labor and Employment
wa,2011-2012,lower,HB 1626,Modifying harassment provisions.,2011-02-25 17:48:56.714000,2012-11-02 06:43:59.108000,bill,Crime
wa,2011-2012,lower,HB 1627,Limiting the authority of boundary review boards.,2011-02-25 17:48:56.717000,2012-11-02 06:43:59.124000,bill,Municipal and County Issues
wa,2011-2012,lower,HB 1628,Concerning firearm background check databases.,2011-02-25 17:48:56.719000,2012-10-18 06:58:14.414000,bill,Guns
wa,2011-2012,lower,HB 1629,Concerning applied behavior analyst services.,2011-02-25 17:48:56.721000,2012-11-02 06:43:59.187000,bill,Other|Health
wa,2011-2012,lower,HB 1630,Authorizing private operation of state-owned rest areas.,2011-02-25 17:48:56.725000,2012-10-18 06:58:48.731000,bill,Transportation|Business and Consumers
wa,2011-2012,lower,HB 1631,Providing for academic employee salary increments for community and technical colleges.,2011-02-25 17:48:56.729000,2012-11-02 06:44:25.223000,bill,Labor and Employment|Education
wa,2011-2012,lower,HB 1632,Modifying cost of supervision provisions.,2011-02-25 17:48:56.732000,2012-11-02 06:44:25.305000,bill,Crime
wa,2011-2012,lower,HB 1633,Changing the age of compulsory school attendance.,2011-02-25 17:48:56.734000,2012-11-02 06:44:25.297000,bill,Education|Family and Children Issues
wa,2011-2012,lower,HB 1634,Regarding underground utilities.,2011-02-25 17:48:56.737000,2012-11-02 06:44:25.187000,bill,Labor and Employment|Public Services|Transportation
